current time 20220418_002206
creating new summary file
argv: ['--local_rank=0', '--logdir', '48,32,8', '--dataset=dtu_yao', '--batch_size=1', '--trainpath=./mvs_training/', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--numdepth=192', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '1', '--eval_freq', '3']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	./mvs_training/               	<class 'str'>       
testpath  	./mvs_training/               	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	2                             	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	1                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	48,32,8                       	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 934304
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/2, Iter 0/27097, lr 0.000335, train loss = 332.328, depth loss = 94.844, time = 26.502
Epoch 0/2, Iter 11050/27097, lr 0.001000, train loss = 46.363, depth loss = 13.015, time = 1.274
Epoch 0/2, Iter 11100/27097, lr 0.001000, train loss = 92.996, depth loss = 26.071, time = 1.372
Epoch 0/2, Iter 11150/27097, lr 0.001000, train loss = 9.020, depth loss = 2.339, time = 1.286
Epoch 0/2, Iter 11200/27097, lr 0.001000, train loss = 10.648, depth loss = 2.938, time = 1.307
Epoch 0/2, Iter 11250/27097, lr 0.001000, train loss = 4.954, depth loss = 1.097, time = 1.278
Epoch 0/2, Iter 11300/27097, lr 0.001000, train loss = 12.514, depth loss = 3.346, time = 1.314
Epoch 0/2, Iter 11350/27097, lr 0.001000, train loss = 4.442, depth loss = 0.990, time = 1.270
Epoch 0/2, Iter 11400/27097, lr 0.001000, train loss = 4.145, depth loss = 1.003, time = 1.318
Epoch 0/2, Iter 11450/27097, lr 0.001000, train loss = 50.690, depth loss = 14.095, time = 1.344
Epoch 0/2, Iter 11500/27097, lr 0.001000, train loss = 116.049, depth loss = 32.299, time = 1.285
Epoch 0/2, Iter 11550/27097, lr 0.001000, train loss = 8.836, depth loss = 2.384, time = 1.292
Epoch 0/2, Iter 11600/27097, lr 0.001000, train loss = 72.886, depth loss = 20.660, time = 1.308
Epoch 0/2, Iter 11650/27097, lr 0.001000, train loss = 84.501, depth loss = 22.990, time = 1.265
Epoch 0/2, Iter 11700/27097, lr 0.001000, train loss = 22.332, depth loss = 6.164, time = 1.311
Epoch 0/2, Iter 11750/27097, lr 0.001000, train loss = 10.154, depth loss = 2.693, time = 1.320
Epoch 0/2, Iter 11800/27097, lr 0.001000, train loss = 11.069, depth loss = 3.013, time = 1.326
Epoch 0/2, Iter 11850/27097, lr 0.001000, train loss = 16.712, depth loss = 4.569, time = 1.297
Epoch 0/2, Iter 11900/27097, lr 0.001000, train loss = 23.666, depth loss = 6.331, time = 1.314
Epoch 0/2, Iter 11950/27097, lr 0.001000, train loss = 26.905, depth loss = 7.188, time = 1.309
Epoch 0/2, Iter 12000/27097, lr 0.001000, train loss = 6.895, depth loss = 1.789, time = 1.285
Epoch 0/2, Iter 12050/27097, lr 0.001000, train loss = 70.252, depth loss = 19.776, time = 1.310
Epoch 0/2, Iter 12100/27097, lr 0.001000, train loss = 36.447, depth loss = 10.208, time = 1.344
Epoch 0/2, Iter 12150/27097, lr 0.001000, train loss = 4.925, depth loss = 1.217, time = 1.347
Epoch 0/2, Iter 12200/27097, lr 0.001000, train loss = 3.691, depth loss = 0.891, time = 1.232
Epoch 0/2, Iter 12250/27097, lr 0.001000, train loss = 23.067, depth loss = 6.294, time = 1.346
Epoch 0/2, Iter 12300/27097, lr 0.001000, train loss = 30.330, depth loss = 8.443, time = 1.326
Epoch 0/2, Iter 12350/27097, lr 0.001000, train loss = 266.539, depth loss = 75.427, time = 1.360
Epoch 0/2, Iter 12400/27097, lr 0.001000, train loss = 22.925, depth loss = 6.065, time = 1.254
Epoch 0/2, Iter 12450/27097, lr 0.001000, train loss = 2.564, depth loss = 0.563, time = 1.311
Epoch 0/2, Iter 12500/27097, lr 0.001000, train loss = 55.048, depth loss = 15.240, time = 1.288
Epoch 0/2, Iter 12550/27097, lr 0.001000, train loss = 227.456, depth loss = 64.535, time = 1.318
Epoch 0/2, Iter 12600/27097, lr 0.001000, train loss = 38.244, depth loss = 10.577, time = 1.334
Epoch 0/2, Iter 12650/27097, lr 0.001000, train loss = 18.024, depth loss = 4.984, time = 1.366
Epoch 0/2, Iter 12700/27097, lr 0.001000, train loss = 5.403, depth loss = 1.359, time = 1.319
Epoch 0/2, Iter 12750/27097, lr 0.001000, train loss = 23.247, depth loss = 6.542, time = 1.313
Epoch 0/2, Iter 12800/27097, lr 0.001000, train loss = 15.466, depth loss = 4.367, time = 1.317
Epoch 0/2, Iter 12850/27097, lr 0.001000, train loss = 7.958, depth loss = 2.078, time = 1.278
Epoch 0/2, Iter 12900/27097, lr 0.001000, train loss = 10.169, depth loss = 2.746, time = 1.272
Epoch 0/2, Iter 12950/27097, lr 0.001000, train loss = 205.164, depth loss = 58.281, time = 1.347
Epoch 0/2, Iter 13000/27097, lr 0.001000, train loss = 18.799, depth loss = 5.144, time = 1.305
Epoch 0/2, Iter 13050/27097, lr 0.001000, train loss = 24.555, depth loss = 6.898, time = 1.309
Epoch 0/2, Iter 13100/27097, lr 0.001000, train loss = 34.039, depth loss = 9.570, time = 1.368
Epoch 0/2, Iter 13150/27097, lr 0.001000, train loss = 54.859, depth loss = 15.212, time = 1.352
Epoch 0/2, Iter 13200/27097, lr 0.001000, train loss = 16.783, depth loss = 4.430, time = 1.287
Epoch 0/2, Iter 13250/27097, lr 0.001000, train loss = 7.176, depth loss = 1.892, time = 1.292
Epoch 0/2, Iter 13300/27097, lr 0.001000, train loss = 93.229, depth loss = 26.527, time = 1.319
Epoch 0/2, Iter 13350/27097, lr 0.001000, train loss = 5.802, depth loss = 1.425, time = 1.309
Epoch 0/2, Iter 13400/27097, lr 0.001000, train loss = 12.098, depth loss = 3.096, time = 1.298
Epoch 0/2, Iter 13450/27097, lr 0.001000, train loss = 15.752, depth loss = 4.295, time = 1.330
Epoch 0/2, Iter 13500/27097, lr 0.001000, train loss = 4.352, depth loss = 1.037, time = 1.260
Epoch 0/2, Iter 13550/27097, lr 0.001000, train loss = 4.598, depth loss = 1.115, time = 1.336
Epoch 0/2, Iter 13600/27097, lr 0.001000, train loss = 2.712, depth loss = 0.636, time = 1.252
Epoch 0/2, Iter 13650/27097, lr 0.001000, train loss = 25.705, depth loss = 7.255, time = 1.231
Epoch 0/2, Iter 13700/27097, lr 0.001000, train loss = 5.002, depth loss = 1.274, time = 1.324
Epoch 0/2, Iter 13750/27097, lr 0.001000, train loss = 17.177, depth loss = 4.603, time = 1.307
Epoch 0/2, Iter 13800/27097, lr 0.001000, train loss = 66.705, depth loss = 18.510, time = 1.198
Epoch 0/2, Iter 13850/27097, lr 0.001000, train loss = 32.455, depth loss = 8.995, time = 1.302
Epoch 0/2, Iter 13900/27097, lr 0.001000, train loss = 5.595, depth loss = 1.330, time = 1.323
Epoch 0/2, Iter 13950/27097, lr 0.001000, train loss = 44.486, depth loss = 12.807, time = 1.232
Epoch 0/2, Iter 14000/27097, lr 0.001000, train loss = 11.759, depth loss = 3.093, time = 1.324
Epoch 0/2, Iter 14050/27097, lr 0.001000, train loss = 3.027, depth loss = 0.751, time = 1.315
Epoch 0/2, Iter 14100/27097, lr 0.001000, train loss = 81.127, depth loss = 23.007, time = 1.353
Epoch 0/2, Iter 14150/27097, lr 0.001000, train loss = 20.622, depth loss = 5.675, time = 1.249
Epoch 0/2, Iter 14200/27097, lr 0.001000, train loss = 43.893, depth loss = 12.399, time = 1.284
Epoch 0/2, Iter 14250/27097, lr 0.001000, train loss = 31.881, depth loss = 8.848, time = 1.321
Epoch 0/2, Iter 14300/27097, lr 0.001000, train loss = 9.202, depth loss = 2.322, time = 1.293
Epoch 0/2, Iter 14350/27097, lr 0.001000, train loss = 32.801, depth loss = 8.803, time = 1.342
Epoch 0/2, Iter 14400/27097, lr 0.001000, train loss = 20.498, depth loss = 5.787, time = 1.330
Epoch 0/2, Iter 14450/27097, lr 0.001000, train loss = 45.617, depth loss = 12.185, time = 1.311
Epoch 0/2, Iter 14500/27097, lr 0.001000, train loss = 65.726, depth loss = 18.727, time = 1.170
Epoch 0/2, Iter 14550/27097, lr 0.001000, train loss = 42.767, depth loss = 12.141, time = 1.234
Epoch 0/2, Iter 14600/27097, lr 0.001000, train loss = 11.635, depth loss = 2.656, time = 1.309
Epoch 0/2, Iter 14650/27097, lr 0.001000, train loss = 20.124, depth loss = 5.403, time = 1.307
Epoch 0/2, Iter 14700/27097, lr 0.001000, train loss = 21.581, depth loss = 5.948, time = 1.326
Epoch 0/2, Iter 14750/27097, lr 0.001000, train loss = 9.929, depth loss = 2.659, time = 1.279
Epoch 0/2, Iter 14800/27097, lr 0.001000, train loss = 68.442, depth loss = 19.292, time = 1.307
Epoch 0/2, Iter 14850/27097, lr 0.001000, train loss = 121.384, depth loss = 34.604, time = 1.354
Epoch 0/2, Iter 14900/27097, lr 0.001000, train loss = 7.088, depth loss = 1.878, time = 1.315
Epoch 0/2, Iter 14950/27097, lr 0.001000, train loss = 14.748, depth loss = 4.011, time = 1.277
Epoch 0/2, Iter 15000/27097, lr 0.001000, train loss = 3.615, depth loss = 0.810, time = 1.292
Epoch 0/2, Iter 15050/27097, lr 0.001000, train loss = 10.967, depth loss = 2.843, time = 1.321
Epoch 0/2, Iter 15100/27097, lr 0.001000, train loss = 146.294, depth loss = 41.655, time = 1.343
Epoch 0/2, Iter 15150/27097, lr 0.001000, train loss = 21.008, depth loss = 5.848, time = 1.220
Epoch 0/2, Iter 15200/27097, lr 0.001000, train loss = 39.062, depth loss = 10.925, time = 1.308
Epoch 0/2, Iter 15250/27097, lr 0.001000, train loss = 8.672, depth loss = 2.301, time = 1.268
Epoch 0/2, Iter 15300/27097, lr 0.001000, train loss = 5.663, depth loss = 1.514, time = 1.315
Epoch 0/2, Iter 15350/27097, lr 0.001000, train loss = 42.478, depth loss = 11.789, time = 1.274
Epoch 0/2, Iter 15400/27097, lr 0.001000, train loss = 22.707, depth loss = 6.210, time = 1.272
Epoch 0/2, Iter 15450/27097, lr 0.001000, train loss = 5.732, depth loss = 1.408, time = 1.305
Epoch 0/2, Iter 15500/27097, lr 0.001000, train loss = 9.182, depth loss = 2.318, time = 1.330
Epoch 0/2, Iter 15550/27097, lr 0.001000, train loss = 8.658, depth loss = 2.267, time = 1.372
Epoch 0/2, Iter 15600/27097, lr 0.001000, train loss = 8.093, depth loss = 2.032, time = 1.317
Epoch 0/2, Iter 15650/27097, lr 0.001000, train loss = 18.780, depth loss = 4.954, time = 1.368
Epoch 0/2, Iter 15700/27097, lr 0.001000, train loss = 10.015, depth loss = 2.431, time = 1.316
Epoch 0/2, Iter 15750/27097, lr 0.001000, train loss = 5.003, depth loss = 1.318, time = 1.360
Epoch 0/2, Iter 15800/27097, lr 0.001000, train loss = 38.944, depth loss = 10.165, time = 1.257
Epoch 0/2, Iter 15850/27097, lr 0.001000, train loss = 10.588, depth loss = 2.842, time = 1.284
Epoch 0/2, Iter 15900/27097, lr 0.001000, train loss = 5.427, depth loss = 1.425, time = 1.267
Epoch 0/2, Iter 15950/27097, lr 0.001000, train loss = 19.551, depth loss = 5.399, time = 1.316
Epoch 0/2, Iter 16000/27097, lr 0.001000, train loss = 29.490, depth loss = 8.070, time = 1.334
Epoch 0/2, Iter 16050/27097, lr 0.001000, train loss = 7.044, depth loss = 1.795, time = 1.307
Epoch 0/2, Iter 16100/27097, lr 0.001000, train loss = 12.654, depth loss = 3.575, time = 1.297
Epoch 0/2, Iter 16150/27097, lr 0.001000, train loss = 28.666, depth loss = 8.106, time = 1.365
Epoch 0/2, Iter 16200/27097, lr 0.001000, train loss = 19.984, depth loss = 5.352, time = 1.196
Epoch 0/2, Iter 16250/27097, lr 0.001000, train loss = 6.909, depth loss = 1.808, time = 1.264
Epoch 0/2, Iter 16300/27097, lr 0.001000, train loss = 7.854, depth loss = 2.127, time = 1.306
Epoch 0/2, Iter 16350/27097, lr 0.001000, train loss = 4.979, depth loss = 1.315, time = 1.292
Epoch 0/2, Iter 16400/27097, lr 0.001000, train loss = 4.738, depth loss = 1.171, time = 1.270
Epoch 0/2, Iter 16450/27097, lr 0.001000, train loss = 12.859, depth loss = 3.427, time = 1.318
Epoch 0/2, Iter 16500/27097, lr 0.001000, train loss = 36.699, depth loss = 8.932, time = 1.304
Epoch 0/2, Iter 16550/27097, lr 0.001000, train loss = 151.143, depth loss = 43.266, time = 1.381
Epoch 0/2, Iter 16600/27097, lr 0.001000, train loss = 38.419, depth loss = 9.774, time = 1.314
Epoch 0/2, Iter 16650/27097, lr 0.001000, train loss = 68.932, depth loss = 19.398, time = 1.337
Epoch 0/2, Iter 16700/27097, lr 0.001000, train loss = 7.354, depth loss = 2.026, time = 1.280
Epoch 0/2, Iter 16750/27097, lr 0.001000, train loss = 8.371, depth loss = 2.266, time = 1.232
Epoch 0/2, Iter 16800/27097, lr 0.001000, train loss = 21.592, depth loss = 6.039, time = 1.242
Epoch 0/2, Iter 16850/27097, lr 0.001000, train loss = 10.542, depth loss = 2.663, time = 1.344
Epoch 0/2, Iter 16900/27097, lr 0.001000, train loss = 23.937, depth loss = 6.672, time = 1.291
Epoch 0/2, Iter 16950/27097, lr 0.001000, train loss = 16.775, depth loss = 4.718, time = 1.337
Epoch 0/2, Iter 17000/27097, lr 0.001000, train loss = 22.554, depth loss = 6.247, time = 1.350
Epoch 0/2, Iter 17050/27097, lr 0.001000, train loss = 1.665, depth loss = 0.343, time = 1.330
Epoch 0/2, Iter 17100/27097, lr 0.001000, train loss = 4.145, depth loss = 0.993, time = 1.300
Epoch 0/2, Iter 17150/27097, lr 0.001000, train loss = 5.402, depth loss = 1.434, time = 1.296
Epoch 0/2, Iter 17200/27097, lr 0.001000, train loss = 3.325, depth loss = 0.797, time = 1.320
Epoch 0/2, Iter 17250/27097, lr 0.001000, train loss = 6.412, depth loss = 1.704, time = 1.305
Epoch 0/2, Iter 17300/27097, lr 0.001000, train loss = 20.718, depth loss = 5.725, time = 1.303
Epoch 0/2, Iter 17350/27097, lr 0.001000, train loss = 13.118, depth loss = 3.548, time = 1.266
Epoch 0/2, Iter 17400/27097, lr 0.001000, train loss = 20.792, depth loss = 5.661, time = 1.345
Epoch 0/2, Iter 17450/27097, lr 0.001000, train loss = 89.437, depth loss = 25.116, time = 1.330
Epoch 0/2, Iter 17500/27097, lr 0.001000, train loss = 11.498, depth loss = 3.056, time = 1.303
Epoch 0/2, Iter 17550/27097, lr 0.001000, train loss = 19.299, depth loss = 4.973, time = 1.223
Epoch 0/2, Iter 17600/27097, lr 0.001000, train loss = 14.380, depth loss = 4.085, time = 1.314
Epoch 0/2, Iter 17650/27097, lr 0.001000, train loss = 7.610, depth loss = 1.847, time = 1.375
Epoch 0/2, Iter 17700/27097, lr 0.001000, train loss = 9.230, depth loss = 2.470, time = 1.259
Epoch 0/2, Iter 17750/27097, lr 0.001000, train loss = 5.493, depth loss = 1.302, time = 1.329
Epoch 0/2, Iter 17800/27097, lr 0.001000, train loss = 5.284, depth loss = 1.340, time = 1.324
Epoch 0/2, Iter 17850/27097, lr 0.001000, train loss = 12.563, depth loss = 2.803, time = 1.274
Epoch 0/2, Iter 17900/27097, lr 0.001000, train loss = 48.337, depth loss = 13.042, time = 1.245
Epoch 0/2, Iter 17950/27097, lr 0.001000, train loss = 51.534, depth loss = 12.777, time = 1.356
Epoch 0/2, Iter 18000/27097, lr 0.001000, train loss = 4.175, depth loss = 1.026, time = 1.272
Epoch 0/2, Iter 18050/27097, lr 0.001000, train loss = 5.258, depth loss = 1.313, time = 1.320
Epoch 0/2, Iter 18100/27097, lr 0.001000, train loss = 10.203, depth loss = 2.744, time = 1.283
Epoch 0/2, Iter 18150/27097, lr 0.001000, train loss = 10.624, depth loss = 2.723, time = 1.366
Epoch 0/2, Iter 18200/27097, lr 0.001000, train loss = 39.248, depth loss = 10.887, time = 1.340
Epoch 0/2, Iter 18250/27097, lr 0.001000, train loss = 24.017, depth loss = 6.534, time = 1.333
Epoch 0/2, Iter 18300/27097, lr 0.001000, train loss = 3.548, depth loss = 0.826, time = 1.306
Epoch 0/2, Iter 18350/27097, lr 0.001000, train loss = 6.015, depth loss = 1.409, time = 1.296
Epoch 0/2, Iter 18400/27097, lr 0.001000, train loss = 17.572, depth loss = 4.364, time = 1.302
Epoch 0/2, Iter 18450/27097, lr 0.001000, train loss = 77.938, depth loss = 22.170, time = 1.182
Epoch 0/2, Iter 18500/27097, lr 0.001000, train loss = 10.735, depth loss = 2.871, time = 1.265
Epoch 0/2, Iter 18550/27097, lr 0.001000, train loss = 5.988, depth loss = 1.496, time = 1.294
Epoch 0/2, Iter 18600/27097, lr 0.001000, train loss = 18.773, depth loss = 5.144, time = 1.306
Epoch 0/2, Iter 18650/27097, lr 0.001000, train loss = 2.390, depth loss = 0.542, time = 1.301
Epoch 0/2, Iter 18700/27097, lr 0.001000, train loss = 29.081, depth loss = 6.449, time = 1.285
Epoch 0/2, Iter 18750/27097, lr 0.001000, train loss = 6.218, depth loss = 1.577, time = 1.334
Epoch 0/2, Iter 18800/27097, lr 0.001000, train loss = 32.821, depth loss = 8.376, time = 1.264
Epoch 0/2, Iter 18850/27097, lr 0.001000, train loss = 13.421, depth loss = 3.320, time = 1.307
Epoch 0/2, Iter 18900/27097, lr 0.001000, train loss = 77.993, depth loss = 21.715, time = 1.263
Epoch 0/2, Iter 18950/27097, lr 0.001000, train loss = 8.857, depth loss = 2.318, time = 1.321
Epoch 0/2, Iter 19000/27097, lr 0.001000, train loss = 79.177, depth loss = 21.841, time = 1.178
Epoch 0/2, Iter 19050/27097, lr 0.001000, train loss = 8.537, depth loss = 2.212, time = 1.288
Epoch 0/2, Iter 19100/27097, lr 0.001000, train loss = 19.573, depth loss = 5.306, time = 1.334
Epoch 0/2, Iter 19150/27097, lr 0.001000, train loss = 16.025, depth loss = 4.404, time = 1.329
Epoch 0/2, Iter 19200/27097, lr 0.001000, train loss = 16.457, depth loss = 4.583, time = 1.340
Epoch 0/2, Iter 19250/27097, lr 0.001000, train loss = 26.310, depth loss = 6.444, time = 1.233
Epoch 0/2, Iter 19300/27097, lr 0.001000, train loss = 13.570, depth loss = 3.589, time = 1.354
Epoch 0/2, Iter 19350/27097, lr 0.001000, train loss = 15.435, depth loss = 4.231, time = 1.345
Epoch 0/2, Iter 19400/27097, lr 0.001000, train loss = 49.680, depth loss = 14.014, time = 1.402
Epoch 0/2, Iter 19450/27097, lr 0.001000, train loss = 22.433, depth loss = 6.193, time = 1.262
Epoch 0/2, Iter 19500/27097, lr 0.001000, train loss = 35.556, depth loss = 9.038, time = 1.300
Epoch 0/2, Iter 19550/27097, lr 0.001000, train loss = 6.669, depth loss = 1.717, time = 1.335
Epoch 0/2, Iter 19600/27097, lr 0.001000, train loss = 11.811, depth loss = 3.156, time = 1.299
Epoch 0/2, Iter 19650/27097, lr 0.001000, train loss = 46.674, depth loss = 13.345, time = 1.253
Epoch 0/2, Iter 19700/27097, lr 0.001000, train loss = 79.885, depth loss = 22.362, time = 1.308
Epoch 0/2, Iter 19750/27097, lr 0.001000, train loss = 7.660, depth loss = 2.049, time = 1.297
Epoch 0/2, Iter 19800/27097, lr 0.001000, train loss = 7.194, depth loss = 1.809, time = 1.248
Epoch 0/2, Iter 19850/27097, lr 0.001000, train loss = 3.638, depth loss = 0.835, time = 1.308
Epoch 0/2, Iter 19900/27097, lr 0.001000, train loss = 13.654, depth loss = 3.558, time = 1.301
Epoch 0/2, Iter 19950/27097, lr 0.001000, train loss = 23.389, depth loss = 6.401, time = 1.244
Epoch 0/2, Iter 20000/27097, lr 0.001000, train loss = 22.689, depth loss = 6.236, time = 1.276
Epoch 0/2, Iter 20050/27097, lr 0.001000, train loss = 22.983, depth loss = 6.478, time = 1.201
Epoch 0/2, Iter 20100/27097, lr 0.001000, train loss = 54.016, depth loss = 15.228, time = 1.325
Epoch 0/2, Iter 20150/27097, lr 0.001000, train loss = 12.759, depth loss = 3.470, time = 1.258
Epoch 0/2, Iter 20200/27097, lr 0.001000, train loss = 13.769, depth loss = 3.871, time = 1.253
Epoch 0/2, Iter 20250/27097, lr 0.001000, train loss = 11.056, depth loss = 2.932, time = 1.330
Epoch 0/2, Iter 20300/27097, lr 0.001000, train loss = 7.590, depth loss = 2.011, time = 1.299
Epoch 0/2, Iter 20350/27097, lr 0.001000, train loss = 15.695, depth loss = 4.167, time = 1.323
Epoch 0/2, Iter 20400/27097, lr 0.001000, train loss = 12.631, depth loss = 3.369, time = 1.258
Epoch 0/2, Iter 20450/27097, lr 0.001000, train loss = 9.422, depth loss = 2.612, time = 1.340
Epoch 0/2, Iter 20500/27097, lr 0.001000, train loss = 9.295, depth loss = 2.489, time = 1.349
Epoch 0/2, Iter 20550/27097, lr 0.001000, train loss = 18.860, depth loss = 5.239, time = 1.341
Epoch 0/2, Iter 20600/27097, lr 0.001000, train loss = 75.169, depth loss = 20.318, time = 1.321
Epoch 0/2, Iter 20650/27097, lr 0.001000, train loss = 22.164, depth loss = 5.787, time = 1.337
Epoch 0/2, Iter 20700/27097, lr 0.001000, train loss = 44.186, depth loss = 11.339, time = 1.288
Epoch 0/2, Iter 20750/27097, lr 0.001000, train loss = 11.110, depth loss = 2.988, time = 1.252
Epoch 0/2, Iter 20800/27097, lr 0.001000, train loss = 5.578, depth loss = 1.420, time = 1.300
Epoch 0/2, Iter 20850/27097, lr 0.001000, train loss = 13.714, depth loss = 3.636, time = 1.346
Epoch 0/2, Iter 20900/27097, lr 0.001000, train loss = 7.390, depth loss = 1.819, time = 1.346
Epoch 0/2, Iter 20950/27097, lr 0.001000, train loss = 4.406, depth loss = 1.079, time = 1.273
Epoch 0/2, Iter 21000/27097, lr 0.001000, train loss = 16.817, depth loss = 4.527, time = 1.340
Epoch 0/2, Iter 21050/27097, lr 0.001000, train loss = 29.601, depth loss = 6.087, time = 1.281
Epoch 0/2, Iter 21100/27097, lr 0.001000, train loss = 13.179, depth loss = 3.570, time = 1.293
Epoch 0/2, Iter 21150/27097, lr 0.001000, train loss = 12.691, depth loss = 3.294, time = 1.337
Epoch 0/2, Iter 21200/27097, lr 0.001000, train loss = 80.724, depth loss = 22.962, time = 1.297
Epoch 0/2, Iter 21250/27097, lr 0.001000, train loss = 10.750, depth loss = 2.798, time = 1.190
Epoch 0/2, Iter 21300/27097, lr 0.001000, train loss = 2.458, depth loss = 0.555, time = 1.263
Epoch 0/2, Iter 21350/27097, lr 0.001000, train loss = 17.028, depth loss = 4.712, time = 1.307
Epoch 0/2, Iter 21400/27097, lr 0.001000, train loss = 57.338, depth loss = 16.282, time = 1.204
Epoch 0/2, Iter 21450/27097, lr 0.001000, train loss = 8.285, depth loss = 2.106, time = 1.278
Epoch 0/2, Iter 21500/27097, lr 0.001000, train loss = 3.676, depth loss = 0.983, time = 1.257
Epoch 0/2, Iter 21550/27097, lr 0.001000, train loss = 5.496, depth loss = 1.354, time = 1.300
Epoch 0/2, Iter 21600/27097, lr 0.001000, train loss = 94.772, depth loss = 26.476, time = 1.327
Epoch 0/2, Iter 21650/27097, lr 0.001000, train loss = 14.062, depth loss = 3.820, time = 1.303
Epoch 0/2, Iter 21700/27097, lr 0.001000, train loss = 112.455, depth loss = 32.214, time = 1.298
Epoch 0/2, Iter 21750/27097, lr 0.001000, train loss = 15.779, depth loss = 4.223, time = 1.342
Epoch 0/2, Iter 21800/27097, lr 0.001000, train loss = 24.014, depth loss = 6.702, time = 1.293
Epoch 0/2, Iter 21850/27097, lr 0.001000, train loss = 42.832, depth loss = 11.979, time = 1.353
Epoch 0/2, Iter 21900/27097, lr 0.001000, train loss = 11.713, depth loss = 3.191, time = 1.239
Epoch 0/2, Iter 21950/27097, lr 0.001000, train loss = 6.855, depth loss = 1.783, time = 1.276
Epoch 0/2, Iter 22000/27097, lr 0.001000, train loss = 41.989, depth loss = 11.673, time = 1.313
Epoch 0/2, Iter 22050/27097, lr 0.001000, train loss = 1.850, depth loss = 0.435, time = 1.289
Epoch 0/2, Iter 22100/27097, lr 0.001000, train loss = 7.715, depth loss = 1.950, time = 1.375
Epoch 0/2, Iter 22150/27097, lr 0.001000, train loss = 18.875, depth loss = 5.130, time = 1.330
Epoch 0/2, Iter 22200/27097, lr 0.001000, train loss = 34.313, depth loss = 9.608, time = 1.230
Epoch 0/2, Iter 22250/27097, lr 0.001000, train loss = 47.703, depth loss = 12.986, time = 1.286
Epoch 0/2, Iter 22300/27097, lr 0.001000, train loss = 59.516, depth loss = 15.583, time = 1.324
Epoch 0/2, Iter 22350/27097, lr 0.001000, train loss = 14.436, depth loss = 3.900, time = 1.273
Epoch 0/2, Iter 22400/27097, lr 0.001000, train loss = 17.144, depth loss = 4.734, time = 1.324
Epoch 0/2, Iter 22450/27097, lr 0.001000, train loss = 87.589, depth loss = 23.315, time = 1.312
Epoch 0/2, Iter 22500/27097, lr 0.001000, train loss = 9.880, depth loss = 2.743, time = 1.255
Epoch 0/2, Iter 22550/27097, lr 0.001000, train loss = 56.125, depth loss = 15.817, time = 1.340
Epoch 0/2, Iter 22600/27097, lr 0.001000, train loss = 8.421, depth loss = 2.148, time = 1.283
Epoch 0/2, Iter 22650/27097, lr 0.001000, train loss = 30.764, depth loss = 8.560, time = 1.330
Epoch 0/2, Iter 22700/27097, lr 0.001000, train loss = 53.237, depth loss = 12.207, time = 1.294
Epoch 0/2, Iter 22750/27097, lr 0.001000, train loss = 7.015, depth loss = 1.828, time = 1.315
Epoch 0/2, Iter 22800/27097, lr 0.001000, train loss = 23.207, depth loss = 6.466, time = 1.300
Epoch 0/2, Iter 22850/27097, lr 0.001000, train loss = 37.544, depth loss = 9.812, time = 1.271
Epoch 0/2, Iter 22900/27097, lr 0.001000, train loss = 22.097, depth loss = 5.871, time = 1.318
Epoch 0/2, Iter 22950/27097, lr 0.001000, train loss = 9.290, depth loss = 2.459, time = 1.368
Epoch 0/2, Iter 23000/27097, lr 0.001000, train loss = 24.560, depth loss = 7.119, time = 1.232
Epoch 0/2, Iter 23050/27097, lr 0.001000, train loss = 7.751, depth loss = 2.067, time = 1.323
Epoch 0/2, Iter 23100/27097, lr 0.001000, train loss = 18.878, depth loss = 5.003, time = 1.316
